"id","data_inversa","dia_semana","horario","uf","br","km","municipio","causa_acidente","tipo_acidente","classificacao_acidente","fase_dia","sentido_via","condicao_metereologica","tipo_pista","tracado_via","uso_solo","pessoas","mortos","feridos_leves","feridos_graves","ilesos","ignorados","feridos","veiculos","latitude","longitude","regional","delegacia","uop"
496938,2023-01-03,"terça-feira",03:30:00,"PB",412,"78,6","SERRA BRANCA","Reação tardia ou ineficiente do condutor","Tombamento","Com Vítimas Feridas","Plena Noite","Crescente","Céu Claro","Simples","Reta","Não",2,0,0,1,1,0,1,2,"-7,498733",-36681053,"SPRF-PB","DEL02-PB","UOP02-DEL02-PB"
497040,2023-01-03,"terça-feira",13:36:00,"PB",101,"60,2","SANTA RITA","Ausência de reação do condutor","Colisão traseira","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Dupla","Não Informado","Sim",2,0,0,1,1,0,1,2,"-7,00141407",-3506459811,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
497223,2023-01-04,"quarta-feira",13:40:00,"PB",230,"49,9","SANTA RITA","Ultrapassagem Indevida","Colisão lateral mesmo sentido","Com Vítimas Feridas","Pleno dia","Decrescente","Sol","Dupla","Reta","Não",7,0,1,0,5,1,1,3,"-7,1803",-350485,"SPRF-PB","DEL01-PB","UOP03-DEL01-PB"
497348,2023-01-04,"quarta-feira",23:45:00,"PB",230,"126,5","RIACHAO DO BACAMARTE","Problema na suspensão","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Crescente","Céu Claro","Dupla","Curva","Não",1,0,1,0,0,0,1,1,"-7,260522",-35698039,"SPRF-PB","DEL02-PB","UOP01-DEL02-PB"
497406,2023-01-05,"quinta-feira",11:40:00,"PB",101,"69","SANTA RITA","Manobra de mudança de faixa","Colisão traseira","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Dupla","Reta","Não",6,0,3,1,2,0,4,2,"-7,07320663",-3499569975,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
498506,2023-01-11,"quarta-feira",09:50:00,"PB",230,"21,3","JOAO PESSOA","Condutor deixou de manter distância do veículo da frente","Tombamento","Com Vítimas Feridas","Pleno dia","Decrescente","Céu Claro","Dupla","Reta","Sim",3,0,0,2,1,0,2,3,"-7,1415",-348519,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
498616,2023-01-11,"quarta-feira",22:30:00,"PB",101,"124","CAAPORA","Manobra de mudança de faixa","Tombamento","Com Vítimas Feridas","Plena Noite","Decrescente","Nublado","Dupla","Não Informado","Não",1,0,1,0,0,0,1,1,"-7,46746892",-349772648,"SPRF-PB","DEL01-PB","UOP02-DEL01-PB"
498689,2023-01-12,"quinta-feira",06:30:00,"PB",230,"104,9","MOGEIRO","Ausência de reação do condutor","Saída de leito carroçável","Sem Vítimas","Pleno dia","Crescente","Céu Claro","Dupla","Curva","Não",1,0,0,0,1,0,0,1,"-7,2061",-355165,"SPRF-PB","DEL01-PB","UOP03-DEL01-PB"
499714,2023-01-17,"terça-feira",12:40:00,"PB",230,"64,4","SAO MIGUEL DE TAIPU","Acumulo de água sobre o pavimento","Saída de leito carroçável","Com Vítimas Feridas","Pleno dia","Decrescente","Chuva","Dupla","Curva","Não",4,0,2,2,0,0,4,3,"-7,19100704",-3518355366,"SPRF-PB","DEL01-PB","UOP03-DEL01-PB"
499842,2023-01-18,"quarta-feira",07:15:00,"PB",230,"23","JOAO PESSOA","Reação tardia ou ineficiente do condutor","Colisão lateral mesmo sentido","Com Vítimas Feridas","Pleno dia","Decrescente","Chuva","Dupla","Não Informado","Sim",3,0,2,0,1,0,2,2,"-7,1562",-348574,"SPRF-PB","DEL01-PB","UOP01-DEL01-PB"
499975,2023-01-18,"quarta-feira",22:40:00,"PB",116,"9,2","CACHOEIRA DOS INDIOS","Chuva","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Crescente","Chuva","Simples","Curva","Não",1,0,1,0,0,0,1,1,"-6,97240402",-3873457506,"SPRF-CE","DEL05-CE","UOP03-DEL05-CE"
500339,2023-01-22,"domingo",12:35:00,"PB",230,"485","SAO JOAO DO RIO DO PEIXE","Condutor Dormindo","Capotamento","Com Vítimas Feridas","Pleno dia","Crescente","Céu Claro","Simples","Não Informado","Não",1,0,1,0,0,0,1,1,"-6,8631",-383794,"SPRF-PB","DEL03-PB","UOP03-DEL03-PB"
501527,2023-01-27,"sexta-feira",15:00:00,"PB",101,"9","MAMANGUAPE","Condutor Dormindo","Colisão traseira","Com Vítimas Feridas","Pleno dia","Crescente","Céu Claro","Dupla","Desvio Temporário","Não",2,0,0,1,1,0,1,2,"-6,5745330074",-351442982212,"SPRF-PB","DEL01-PB","UOP04-DEL01-PB"
501646,2023-01-28,"sábado",04:00:00,"PB",230,"420,5","POMBAL","Condutor deixou de manter distância do veículo da frente","Colisão traseira","Com Vítimas Feridas","Amanhecer","Decrescente","Céu Claro","Simples","Não Informado","Não",3,0,0,2,0,1,2,2,"-6,724832",-37866383,"SPRF-PB","DEL03-PB","UOP02-DEL03-PB"
501778,2023-01-28,"sábado",14:50:00,"PB",412,"142,5","MONTEIRO","Ultrapassagem Indevida","Colisão frontal","Com Vítimas Fatais","Pleno dia","Crescente","Céu Claro","Simples","Não Informado","Não",2,1,0,0,1,0,0,2,"-7,878574",-37099098,"SPRF-PB","DEL02-PB","UOP02-DEL02-PB"
502423,2023-01-31,"terça-feira",19:30:00,"PB",116,"7,9","CACHOEIRA DOS INDIOS","Afundamento ou ondulação no pavimento","Saída de leito carroçável","Com Vítimas Feridas","Plena Noite","Crescente","Céu Claro","Simples","Reta","Não",4,0,4,0,0,0,4,1,"-6,956637",-38723457,"SPRF-CE","DEL05-CE","UOP03-DEL05-CE"
502465,2023-02-01,"quarta-feira",06:30:00,"PB",104,"182,1","ALCANTIL","Reação tardia ou ineficiente do condutor","Saída de leito carroçável","Com Vítimas Fatais","Pleno dia","Crescente","Céu Claro","Simples","Não Informado","Não",2,1,1,0,0,0,1,1,"-7,65726502",-3607937584,"SPRF-PB","DEL02-PB","UOP03-DEL02-PB"
